firstname, lastname, birthday,department,office
Fabian Scott, Reistad, 1950-03-15,Ledelsen,Oslo
Mikolaj Kenneth, Isdal Abdullahi, 1988-05-14,Ledelsen,Oslo
Ruth Randi, Sønstebø, 1973-02-11,Ledelsen,Oslo
Tirill, Ask Iversen, 1982-05-20,Ledelsen,Oslo
Lycke, Hovdal Braaten, 1996-06-05,Ledelsen,Oslo
Fabian, Eie, 1957-03-18,Ledelsen,Oslo
Mateusz Simon, Grønlund, 1954-07-21,Ledelsen,Oslo
Filip Simon, Drivenes, 1985-02-15,Ledelsen,Oslo
Kornelius Lars, Bjørkli, 1962-12-06,Ledelsen,Oslo
Amir, Steinsland, 1952-10-18,Ledelsen,Oslo
Odin Jan, Mirza Storås, 1973-03-22,HR,Oslo
Mikal, Kofoed, 1967-08-05,HR,Oslo
Mariell, Aleksandersen, 1984-07-08,HR,Oslo
Alba Dorthea, Krane Hegre, 1952-09-25,HR,Bergen
Fanny Milana, Lade Tønder, 1975-11-01,HR,Trondheim
Preben, Møgster, 1992-04-10,HMS,Oslo
Kristupas, Kvinnesland, 1987-08-21,HMS,Bergen
Lovise Ulla, Vie, 1980-01-20,HMS,Trondheim
Maximilian Luka, Wang, 1950-03-10,Finans,Trondheim
Ajla, Vestad Vaage, 1958-07-27,Finans,Trondheim
Hassan, Søgaard, 1995-10-02,Finans,Trondheim
Carla, Randen Ulvin, 1987-06-20,Finans,Trondheim
Iman, Holmen, 1959-12-12,Finans,Trondheim
Heine Rasmus, Evje, 1963-06-23,Finans,Trondheim
Augusta Fride, Skrede, 1970-06-16,Finans,Trondheim
Tilje, Borgen Svenning, 1975-04-15,Finans,Trondheim
Othilie, Høiseth Robberstad, 1972-12-09,Finans,Trondheim
Isaac Theo, Todnem Dybdahl, 1965-07-27,Finans,Trondheim
Kåre Mikkel, Hammersland Tveito, 1988-11-12,Finans,Trondheim
Vidar Muhammed, Holme, 1957-11-20,Finans,Trondheim
Alina, Birkeli, 1979-05-07,Økonnomi,Trondheim
Vida Gina, Dehli, 1978-01-03,Økonnomi,Trondheim
August Bastian, Rønneberg, 1982-09-03,Økonnomi,Trondheim
Angelica, Naustdal, 1993-11-27,Økonnomi,Trondheim
Wojciech Yousef, Lauvås Hauge, 1973-08-06,Økonnomi,Trondheim
Sebastian, Bergland Nissen, 1971-02-11,Økonnomi,Trondheim
Conrad Arnas, Ræstad, 1959-11-11,Lønns,Trondheim
Emilian Jeppe, Haldorsen, 1956-07-20,Lønns,Trondheim
Eivor Eline, Grønlund, 1996-11-02,IT,Oslo
Karla Ela, Estensen Tømmerås, 1985-03-16,IT,Oslo
Aleksander, Røsvik Krogsrud, 1977-03-24,IT,Oslo
June, Alsaker Jacobsen, 1970-02-01,IT,Oslo
Yusra, Wanvik, 1977-07-10,IT,Oslo
Kaja Michelle, Myran, 1989-09-05,IT,Oslo
Alex, Saeed Vassbotn, 1961-04-22,IT,Oslo
Alma Savannah, Lilleby, 1984-06-02,IT,Oslo
Mathea, Ørmen, 1963-10-20,IT,Oslo
Serina Ellen, Bergman Falk, 1958-06-07,IT,Oslo
Åshild Nicoline, Wisløff, 1996-11-24,IT,Oslo
Lilli, Heggdal Guldahl, 1975-01-21,IT,Oslo
Hanna, Haugsvær, 1984-04-25,IT,Oslo
Leila, Neset, 1975-08-04,IT,Trondheim
Cecilia Asta, Myller, 1994-09-24,IT,Trondheim
Nila Astri, Bu Berntsen, 1966-07-24,IT,Trondheim
Tarald, Tonning Vassbotn, 1981-06-09,IT,Trondheim
Einar Marco, Overå, 1969-08-16,IT,Trondheim
Rakel Aline, Seldal, 1986-05-11,IT,Trondheim
Abdullahi Ismail, Teigen Holm, 1982-03-15,IT,Trondheim
Yara Stina, Dahlberg Grøterud, 1969-08-11,IT,Trondheim
Robert Lyder, Mohammed Strand, 1971-12-04,IT,Trondheim
Ailo Sean, Haukeland, 1959-11-16,IT,Trondheim
Alina Idunn, Stadheim Fosser, 1971-11-13,IT,Trondheim
Emmelin, Stålesen, 1960-03-03,IT,Trondheim
Malene Alise, Sara Reinholdtsen, 1985-03-05,IT,Trondheim
Troy Erik, Sinnes Syed, 1982-04-23,IT,Trondheim
Mia, Juliussen, 1995-12-14,IT,Trondheim
Lauritz Maximillian, Skjetne, 1987-02-12,IT,Trondheim
Olivia, Østerbø Sørgård, 1987-10-12,IT,Bergen
Cornelia Karla, Fykse Blix, 1982-10-08,IT,Bergen
Mikael, Olavesen Tjemsland, 1994-09-25,IT,Bergen
Maia, Einarsen Frantzen, 1988-04-26,IT,Bergen
Mons Samson, Tandberg, 1959-06-24,IT,Bergen
Joshua, Nordgård Utsi, 1957-10-13,IT,Bergen
Emelie Carina, Venås Nur, 1976-01-06,IT,Bergen
Marielle, Gramstad, 1955-06-17,IT,Bergen
Samira Cecilia, Hernes Hellevik, 1968-08-23,IT,Bergen
Askil Muhammed, Lende, 1951-04-24,IT,Bergen
Sannah, Berhane Roos, 1995-12-11,IT,Bergen
Hermann Joel, Selvik, 1984-03-03,IT,Bergen
Agathe Laila, Amlie Sundal, 1953-12-06,IT,Bergen
Frøydis, Holsen, 1979-11-25,IT,Bergen
Mohammed Emir, Viken, 1954-02-13,IT,Bergen
Ryan Victor, Raaen, 1979-07-08,IT,Bergen
Tilde Tonje, Hauglid, 1962-06-01,IT,Bergen
Christian Edgar, Lindstad Hestetun, 1982-07-11,IT,Bergen
Alicja Tiril, Hegland, 1995-05-01,IT,Bergen
Jasmin, Frostad Bendiksen, 1956-09-26,IT,Bergen
Thora Jasmine, Fauskanger Lødemel, 1995-12-19,IT,Bergen
